cell_id,total_counts,center_x,center_y,cell_quality,nb_cells,cluster_label
338,139,137.166816952209,629.816952209198,Good quality(3498),3498,Good quality(3498)
339,137,138.133333333333,725.75303030303,Good quality(3498),3498,Good quality(3498)
340,108,134.478654592497,295.767787839586,Good quality(3498),3498,Good quality(3498)
342,116,139.120331950207,895.375518672199,Good quality(3498),3498,Good quality(3498)
343,101,128.121506682868,1052.70716889429,Good quality(3498),3498,Good quality(3498)
345,139,132.506329113924,2250.5611814346,Good quality(3498),3498,Good quality(3498)
348,50,132.819407008086,334.967654986523,Good quality(3498),3498,Good quality(3498)
352,77,137.425948592411,959.21052631579,Good quality(3498),3498,Good quality(3498)
353,204,137.855789473684,113.593684210526,Good quality(3498),3498,Good quality(3498)
354,62,140.476811594203,351.346376811594,Good quality(3498),3498,Good quality(3498)
357,165,133.504357298475,1781.78322440087,Good quality(3498),3498,Good quality(3498)
360,57,133.80612244898,157.28231292517,Good quality(3498),3498,Good quality(3498)
370,193,147.347826086957,1449.6149068323,Good quality(3498),3498,Good quality(3498)
371,60,138.043786982249,18.0627218934911,Good quality(3498),3498,Good quality(3498)
372,67,139.48463356974,922.120567375887,Good quality(3498),3498,Good quality(3498)
375,188,155.559500959693,253.034548944338,Good quality(3498),3498,Good quality(3498)
377,227,149.760421898543,1064.70868910095,Good quality(3498),3498,Good quality(3498)
382,195,159.430927835052,2188.88865979381,Good quality(3498),3498,Good quality(3498)
385,60,145.651125401929,1276.81672025723,Good quality(3498),3498,Good quality(3498)
386,114,151.071554770318,1342.31713780919,Good quality(3498),3498,Good quality(3498)
389,104,147.582814445828,670.493150684932,Good quality(3498),3498,Good quality(3498)
397,94,139.939130434783,199.64347826087,Good quality(3498),3498,Good quality(3498)
398,82,148.69823434992,591.837881219904,Good quality(3498),3498,Good quality(3498)
405,115,146.851265822785,1310.30063291139,Good quality(3498),3498,Good quality(3498)
408,60,150.366366366366,49.454954954955,Good quality(3498),3498,Good quality(3498)
410,53,149.494736842105,1136.1,Good quality(3498),3498,Good quality(3498)
417,359,172.243803515097,1424.76701216764,Good quality(3498),3498,Good quality(3498)
419,65,148.351464435146,2389.45690376569,Good quality(3498),3498,Good quality(3498)
420,84,147.105617977528,143.125842696629,Good quality(3498),3498,Good quality(3498)
423,116,157.69764957265,179.42094017094,Good quality(3498),3498,Good quality(3498)
425,66,158.600667408231,577.521690767519,Good quality(3498),3498,Good quality(3498)
426,85,150.498964803313,614.51966873706,Good quality(3498),3498,Good quality(3498)
432,51,151.312195121951,982.619512195122,Good quality(3498),3498,Good quality(3498)
433,104,154.995426829268,695.342987804878,Good quality(3498),3498,Good quality(3498)
440,267,181.997185080929,2167.85503166784,Good quality(3498),3498,Good quality(3498)
445,312,163.588133640553,1537.88652073733,Good quality(3498),3498,Good quality(3498)
448,249,164.587533156499,1948.91710875332,Good quality(3498),3498,Good quality(3498)
452,62,165.737346101231,330.44049247606,Good quality(3498),3498,Good quality(3498)
455,53,165.147609147609,293.245322245322,Good quality(3498),3498,Good quality(3498)
456,73,164.448210922787,310.487758945386,Good quality(3498),3498,Good quality(3498)
457,111,163.509328358209,122.595149253731,Good quality(3498),3498,Good quality(3498)
458,66,162.636786961583,401.27473806752,Good quality(3498),3498,Good quality(3498)
463,56,166.670124481328,20.2033195020747,Good quality(3498),3498,Good quality(3498)
464,106,173.805714285714,36.7257142857143,Good quality(3498),3498,Good quality(3498)
466,92,169.361956521739,1116.31739130435,Good quality(3498),3498,Good quality(3498)
468,276,178.400874635569,456.510204081633,Good quality(3498),3498,Good quality(3498)
471,125,164.269047619048,905.076190476191,Good quality(3498),3498,Good quality(3498)
475,65,170.907216494845,205.556701030928,Good quality(3498),3498,Good quality(3498)
477,62,177.177844762622,817.178598342125,Good quality(3498),3498,Good quality(3498)
478,54,169.251785714286,843.703571428572,Good quality(3498),3498,Good quality(3498)
481,52,162.587476979742,960.337016574586,Good quality(3498),3498,Good quality(3498)
482,350,177.399584487535,1653.45567867036,Good quality(3498),3498,Good quality(3498)
484,104,176.341365461847,553.011044176707,Good quality(3498),3498,Good quality(3498)
486,170,184.938746438746,1044.90740740741,Good quality(3498),3498,Good quality(3498)
489,194,178.713866039953,1266.75558166863,Good quality(3498),3498,Good quality(3498)
493,59,172.939157566303,703.677067082683,Good quality(3498),3498,Good quality(3498)
497,58,168.502564102564,925.628205128205,Good quality(3498),3498,Good quality(3498)
500,272,203.810194778284,510.568586821384,Good quality(3498),3498,Good quality(3498)
505,80,168.358803986711,61.890365448505,Good quality(3498),3498,Good quality(3498)
506,101,172.478658536585,85.7774390243903,Good quality(3498),3498,Good quality(3498)
507,79,166.031674208145,147.764705882353,Good quality(3498),3498,Good quality(3498)
509,126,179.065934065934,668.376162299239,Good quality(3498),3498,Good quality(3498)
510,76,177.591041869523,727.573515092503,Good quality(3498),3498,Good quality(3498)
523,192,178.426627793975,630.139941690962,Good quality(3498),3498,Good quality(3498)
528,125,175.888648648649,1309.65513513514,Good quality(3498),3498,Good quality(3498)
532,104,184.665441176471,1069,Good quality(3498),3498,Good quality(3498)
534,50,172.055118110236,227.984251968504,Good quality(3498),3498,Good quality(3498)
537,102,184.990344827586,935.900689655172,Good quality(3498),3498,Good quality(3498)
538,63,177.312393887946,1091.77249575552,Good quality(3498),3498,Good quality(3498)
553,80,180.24,971.867142857143,Good quality(3498),3498,Good quality(3498)
555,224,191.204347826087,369.258937198068,Good quality(3498),3498,Good quality(3498)
566,267,199.766091712242,2381.63988220446,Good quality(3498),3498,Good quality(3498)
567,239,187.675774134791,155.317850637523,Good quality(3498),3498,Good quality(3498)
573,150,195.609636184857,104.67453294002,Good quality(3498),3498,Good quality(3498)
574,90,189.18991416309,598.285407725322,Good quality(3498),3498,Good quality(3498)
575,126,192.247295208655,874.425038639876,Good quality(3498),3498,Good quality(3498)
